rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
202,FR,fr_zones_274,43.0,1.2614,0.048,ws,3,8760
203,FR,fr_zones_105,47.5041,-2.0341,-0.0475,ws3,3,8760
204,FR,fr_zones_285,43.0,8.5114,0.0472,ws,3,8760
205,FR,fr_zones_163,46.1529,0.2727,0.0461,ws,0,8760
206,FR,fr_zones_144,46.6033,-0.7159,0.0458,ws,0,8760
207,FR,fr_zones_234,44.3512,3.5682,-0.0458,ws3,3,8760
208,FR,fr_zones_196,45.252,-1.7045,0.0451,ws,0,8760
209,FR,fr_zones_123,47.0537,-3.0227,-0.0445,ws,3,8760
210,FR,fr_zones_222,44.8016,5.2159,0.0445,ws,3,8760
211,FR,fr_zones_166,46.1529,2.25,-0.0442,ws3,0,8760
212,FR,fr_zones_169,46.1529,4.2273,-0.044,ws3,0,8760
213,FR,fr_zones_145,46.6033,-0.0568,-0.0434,ws,3,8760
214,FR,fr_zones_268,43.4504,6.8636,0.0434,ws,3,8760
215,FR,fr_zones_125,47.0537,-1.7045,-0.0429,ws3,3,8760
216,FR,fr_zones_266,43.4504,5.5455,0.0421,ws,3,8760
217,FR,fr_zones_101,47.5041,-4.6705,-0.0414,ws3,3,8760
218,FR,fr_zones_122,47.0537,-3.6818,-0.0413,ws3,3,8760
219,FR,fr_zones_081,47.9545,-5.0,-0.0413,ws3,3,8760
220,FR,fr_zones_126,47.0537,-1.0455,-0.0413,ws3,3,8760
221,FR,fr_zones_164,46.1529,0.9318,-0.0412,ws3,3,8760
222,FR,fr_zones_271,43.0,-0.7159,-0.0411,ws,0,8760
223,FR,fr_zones_183,45.7025,1.9205,0.0409,ws,0,8760
224,FR,fr_zones_218,44.8016,2.5795,0.0405,ws,0,8760
225,FR,fr_zones_265,43.4504,4.8864,0.0403,ws,1,8760
226,FR,fr_zones_204,45.252,3.5682,-0.0402,ws3,0,8760
227,FR,fr_zones_279,43.0,4.5568,0.0399,ws,0,8760
228,FR,fr_zones_262,43.4504,2.9091,0.0394,ws,3,8760
229,FR,fr_zones_276,43.0,2.5795,0.0393,ws,0,8760
230,FR,fr_zones_212,44.8016,-1.375,0.0392,ws,0,8760
231,FR,fr_zones_152,46.6033,4.5568,-0.0389,ws3,3,8760
232,FR,fr_zones_135,47.0537,4.8864,-0.0388,ws3,3,8760
233,FR,fr_zones_211,44.8016,-2.0341,0.0368,ws,0,8760
234,FR,fr_zones_121,47.0537,-4.3409,-0.0362,ws3,3,8760
235,FR,fr_zones_178,45.7025,-1.375,0.0353,ws,0,8760
236,FR,fr_zones_278,43.0,3.8977,0.0347,ws,0,8760
237,FR,fr_zones_264,43.4504,4.2273,0.0346,ws,0,8760
238,FR,fr_zones_146,46.6033,0.6023,-0.0341,ws3,3,8760
239,FR,fr_zones_182,45.7025,1.2614,0.0334,ws,0,8760
240,FR,fr_zones_260,43.4504,1.5909,0.0329,ws,0,8760
241,FR,fr_zones_241,43.9008,-1.375,0.0315,ws,1,8760
242,FR,fr_zones_194,45.252,-3.0227,0.0309,ws,0,8760
243,FR,fr_zones_184,45.7025,2.5795,-0.0308,ws3,3,8760
244,FR,fr_zones_193,45.252,-3.6818,0.0307,ws,0,8760
245,FR,fr_zones_210,44.8016,-2.6932,0.0306,ws,0,8760
246,FR,fr_zones_255,43.4504,-1.7045,0.0302,ws,3,8760
247,FR,fr_zones_120,47.0537,-5.0,-0.0302,ws3,3,8760
248,FR,fr_zones_161,46.1529,-1.0455,0.03,ws,0,8760
249,FR,fr_zones_219,44.8016,3.2386,-0.0298,ws3,1,8760
250,FR,fr_zones_187,45.7025,4.5568,-0.0296,ws,0,8760
251,FR,fr_zones_202,45.252,2.25,0.0291,ws,0,8760
252,FR,fr_zones_195,45.252,-2.3636,0.0291,ws,0,8760
253,FR,fr_zones_177,45.7025,-2.0341,0.029,ws,0,8760
254,FR,fr_zones_233,44.3512,2.9091,-0.029,ws3,0,8760
255,FR,fr_zones_281,43.0,5.875,-0.0289,ws3,0,8760
256,FR,fr_zones_192,45.252,-4.3409,0.0287,ws,0,8760
257,FR,fr_zones_149,46.6033,2.5795,-0.0277,ws,3,8760
258,FR,fr_zones_176,45.7025,-2.6932,0.0276,ws,0,8760
259,FR,fr_zones_221,44.8016,4.5568,-0.0274,ws,0,8760
260,FR,fr_zones_160,46.1529,-1.7045,-0.0274,ws,3,8760
261,FR,fr_zones_175,45.7025,-3.3523,0.0268,ws,0,8760
262,FR,fr_zones_247,43.9008,2.5795,0.0266,ws,1,8760
263,FR,fr_zones_159,46.1529,-2.3636,-0.0264,ws,3,8760
264,FR,fr_zones_141,46.6033,-2.6932,-0.0256,ws,3,8760
265,FR,fr_zones_267,43.4504,6.2045,0.0256,ws,3,8760
266,FR,fr_zones_138,46.6033,-4.6705,-0.0252,ws3,3,8760
267,FR,fr_zones_143,46.6033,-1.375,0.0247,ws,0,8760
268,FR,fr_zones_140,46.6033,-3.3523,-0.0246,ws,3,8760
269,FR,fr_zones_191,45.252,-5.0,0.0245,ws,1,8760
270,FR,fr_zones_139,46.6033,-4.0114,-0.0237,ws3,3,8760
271,FR,fr_zones_151,46.6033,3.8977,0.0233,ws,0,8760
272,FR,fr_zones_217,44.8016,1.9205,-0.0222,ws3,3,8760
273,FR,fr_zones_263,43.4504,3.5682,0.0221,ws,2,8760
274,FR,fr_zones_174,45.7025,-4.0114,0.0217,ws,0,8760
275,FR,fr_zones_232,44.3512,2.25,0.0206,ws,0,8760
276,FR,fr_zones_206,45.252,4.8864,0.0189,ws,2,8760
277,FR,fr_zones_280,43.0,5.2159,0.0175,ws3,0,8760
278,FR,fr_zones_157,46.1529,-3.6818,-0.0173,ws,3,8760
279,FR,fr_zones_203,45.252,2.9091,-0.0166,ws,0,8760
280,FR,fr_zones_170,46.1529,4.8864,-0.0164,ws3,0,8760
281,FR,fr_zones_155,46.1529,-5.0,-0.0162,ws3,3,8760
282,FR,fr_zones_248,43.9008,3.2386,-0.0158,ws3,3,8760
283,FR,fr_zones_158,46.1529,-3.0227,-0.0154,ws,3,8760
284,FR,fr_zones_173,45.7025,-4.6705,0.0144,ws,0,8760
285,FR,fr_zones_261,43.4504,2.25,0.0134,ws,3,8760
286,FR,fr_zones_156,46.1529,-4.3409,-0.0133,ws,3,8760
